time-1,force,time-2,displacement-m,displacement-mm,strain
2.83E-007,0.00E+000,0.00E+000,0.00E+000,0,0
1.02E-005,0.00E+000,9.92E-006,0.00E+000,0,0
2.01E-005,0.00E+000,1.98E-005,0.00E+000,0,0
3.00E-005,0.00E+000,2.98E-005,0.00E+000,0,0
4.03E-005,0.00E+000,4.00E-005,0.00E+000,0,0
5.02E-005,0.00E+000,4.99E-005,0.00E+000,0,0
6.01E-005,0.00E+000,5.98E-005,0.00E+000,0,0
7.00E-005,0.00E+000,6.97E-005,0.00E+000,0,0
8.02E-005,0.00E+000,7.99E-005,0.00E+000,0,0
9.01E-005,0.00E+000,8.99E-005,0.00E+000,0,0
1.00E-004,0.00E+000,9.98E-005,0.00E+000,0,0
1.10E-004,0.00E+000,1.10E-004,0.00E+000,0,0
1.20E-004,0.00E+000,1.20E-004,0.00E+000,0,0
1.30E-004,0.00E+000,1.30E-004,0.00E+000,0,0
1.40E-004,0.00E+000,1.40E-004,0.00E+000,0,0
1.50E-004,0.00E+000,1.50E-004,0.00E+000,0,0
1.60E-004,0.00E+000,1.60E-004,0.00E+000,0,0
1.70E-004,0.00E+000,1.70E-004,0.00E+000,0,0
1.80E-004,0.00E+000,1.80E-004,0.00E+000,0,0
1.90E-004,0.00E+000,1.90E-004,0.00E+000,0,0
2.00E-004,0.00E+000,2.00E-004,0.00E+000,0,0
2.10E-004,0.00E+000,2.10E-004,0.00E+000,0,0
2.20E-004,0.00E+000,2.20E-004,0.00E+000,0,0
2.30E-004,0.00E+000,2.30E-004,0.00E+000,0,0
2.40E-004,0.00E+000,2.40E-004,0.00E+000,0,0
2.50E-004,0.00E+000,2.50E-004,0.00E+000,0,0
2.60E-004,0.00E+000,2.60E-004,0.00E+000,0,0
2.70E-004,0.00E+000,2.70E-004,0.00E+000,0,0
2.80E-004,0.00E+000,2.80E-004,0.00E+000,0,0
2.90E-004,0.00E+000,2.90E-004,0.00E+000,0,0
3.00E-004,0.00E+000,3.00E-004,0.00E+000,0,0
3.10E-004,0.00E+000,3.10E-004,0.00E+000,0,0
3.20E-004,0.00E+000,3.20E-004,0.00E+000,0,0
3.30E-004,0.00E+000,3.30E-004,0.00E+000,0,0
3.40E-004,0.00E+000,3.40E-004,0.00E+000,0,0
3.50E-004,0.00E+000,3.50E-004,0.00E+000,0,0
3.60E-004,0.00E+000,3.60E-004,0.00E+000,0,0
3.70E-004,0.00E+000,3.70E-004,0.00E+000,0,0
3.80E-004,0.00E+000,3.80E-004,0.00E+000,0,0
3.90E-004,0.00E+000,3.90E-004,0.00E+000,0,0
4.00E-004,0.00E+000,4.00E-004,0.00E+000,0,0
4.10E-004,0.00E+000,4.10E-004,-5.89E-006,0.0058901,0.0001472525
4.20E-004,2.86E+003,4.20E-004,-1.99E-005,0.019915,0.000497875
4.30E-004,5.47E+003,4.30E-004,-3.27E-005,0.032657,0.000816425
4.40E-004,5.79E+003,4.40E-004,-4.63E-005,0.04629,0.00115725
4.50E-004,6.63E+003,4.50E-004,-5.97E-005,0.059737,0.001493425
4.60E-004,6.65E+003,4.60E-004,-7.36E-005,0.073587,0.001839675
4.70E-004,6.74E+003,4.70E-004,-8.79E-005,0.087925,0.002198125
4.80E-004,6.64E+003,4.80E-004,-1.02E-004,0.10162,0.0025405
4.90E-004,6.42E+003,4.90E-004,-1.16E-004,0.11574,0.0028935
5.00E-004,6.08E+003,5.00E-004,-1.30E-004,0.12954,0.0032385
5.10E-004,5.22E+003,5.10E-004,-1.44E-004,0.14381,0.00359525
5.20E-004,4.10E+003,5.20E-004,-1.58E-004,0.15836,0.003959
5.30E-004,2.70E+003,5.30E-004,-1.73E-004,0.17307,0.00432675
5.40E-004,2.74E+003,5.40E-004,-1.86E-004,0.18631,0.00465775
5.50E-004,3.42E+003,5.50E-004,-2.00E-004,0.19986,0.0049965
5.60E-004,3.18E+003,5.60E-004,-2.14E-004,0.21446,0.0053615
5.70E-004,2.67E+003,5.70E-004,-2.28E-004,0.22849,0.00571225
5.80E-004,2.84E+003,5.80E-004,-2.42E-004,0.24227,0.00605675
5.90E-004,2.99E+003,5.90E-004,-2.56E-004,0.25627,0.00640675
6.00E-004,2.78E+003,6.00E-004,-2.70E-004,0.27035,0.00675875
6.10E-004,2.72E+003,6.10E-004,-2.84E-004,0.28434,0.0071085
6.20E-004,2.87E+003,6.20E-004,-2.98E-004,0.2983,0.0074575
6.30E-004,2.70E+003,6.30E-004,-3.12E-004,0.31198,0.0077995
6.40E-004,2.61E+003,6.40E-004,-3.26E-004,0.32592,0.008148
6.50E-004,2.66E+003,6.50E-004,-3.40E-004,0.33993,0.00849825
6.60E-004,2.63E+003,6.60E-004,-3.54E-004,0.3539,0.0088475
6.70E-004,2.54E+003,6.70E-004,-3.68E-004,0.3678,0.009195
6.80E-004,2.61E+003,6.80E-004,-3.82E-004,0.3817,0.0095425
6.90E-004,2.51E+003,6.90E-004,-3.96E-004,0.39565,0.00989125
7.00E-004,2.50E+003,7.00E-004,-4.10E-004,0.40957,0.01023925
7.10E-004,2.51E+003,7.10E-004,-4.23E-004,0.4231,0.0105775
7.20E-004,2.48E+003,7.20E-004,-4.37E-004,0.43696,0.010924
7.30E-004,2.42E+003,7.30E-004,-4.51E-004,0.45079,0.01126975
7.40E-004,2.44E+003,7.40E-004,-4.65E-004,0.46498,0.0116245
7.50E-004,2.40E+003,7.50E-004,-4.79E-004,0.47881,0.01197025
7.60E-004,2.39E+003,7.60E-004,-4.93E-004,0.49256,0.012314
7.70E-004,2.39E+003,7.70E-004,-5.06E-004,0.50627,0.01265675
7.80E-004,2.38E+003,7.80E-004,-5.20E-004,0.52031,0.01300775
7.90E-004,2.36E+003,7.90E-004,-5.34E-004,0.53399,0.01334975
8.00E-004,2.33E+003,8.00E-004,-5.48E-004,0.54763,0.01369075
8.10E-004,2.31E+003,8.10E-004,-5.62E-004,0.56158,0.0140395
8.20E-004,2.33E+003,8.20E-004,-5.75E-004,0.57541,0.01438525
8.30E-004,2.31E+003,8.30E-004,-5.89E-004,0.58916,0.014729
8.40E-004,2.29E+003,8.40E-004,-6.03E-004,0.60321,0.01508025
8.50E-004,2.30E+003,8.50E-004,-6.17E-004,0.61677,0.01541925
8.60E-004,2.28E+003,8.60E-004,-6.31E-004,0.63063,0.01576575
8.70E-004,2.29E+003,8.70E-004,-6.44E-004,0.64437,0.01610925
8.80E-004,2.24E+003,8.80E-004,-6.58E-004,0.6584,0.01646
8.90E-004,2.25E+003,8.90E-004,-6.72E-004,0.67196,0.016799
9.00E-004,2.26E+003,9.00E-004,-6.86E-004,0.6858,0.017145
9.10E-004,2.23E+003,9.10E-004,-7.00E-004,0.69953,0.01748825
9.20E-004,2.23E+003,9.20E-004,-7.14E-004,0.71351,0.01783775
